"Name"	"Team"	"Points"	"Cost"	"Position"	"per"	"per_ord"
"243"	"Adam"	"Stoke"	42	5	"MID"	8.4	"Adam"
"244"	"Allen"	"Stoke"	42	5	"MID"	8.4	"Allen"
"245"	"Bony"	"Man City"	63	7.5	"ATK"	8.4	"Bony"
"246"	"Moses"	"Chelsea"	46	5.5	"MID"	8.36363636363636	"Moses"
"247"	"Montero"	"Swansea"	46	5.5	"MID"	8.36363636363636	"Montero"
"248"	"Depay"	"Man Utd"	62	7.5	"MID"	8.26666666666667	"Depay"
"249"	"Ledley"	"Crystal Palace"	37	4.5	"MID"	8.22222222222222	"Ledley"
"250"	"Behrami"	"Watford"	37	4.5	"MID"	8.22222222222222	"Behrami"
"251"	"Zabaleta"	"Man City"	41	5	"DEF"	8.2	"Zabaleta"
"252"	"Martina"	"Southampton"	36	4.5	"DEF"	8	"Martina"
"253"	"Obiang"	"West Ham"	36	4.5	"MID"	8	"Obiang"
"254"	"Rashford"	"Man Utd"	55	7	"ATK"	7.85714285714286	"Rashford"
"255"	"Schweinsteiger"	"Man Utd"	43	5.5	"MID"	7.81818181818182	"Schweinsteiger"
"256"	"Rodwell"	"Sunderland"	35	4.5	"MID"	7.77777777777778	"Rodwell"
"257"	"Afobe"	"Bournemouth"	46	6	"ATK"	7.66666666666667	"Afobe"
"258"	"Paredes"	"Watford"	30	4	"DEF"	7.5	"Paredes"
"259"	"Delph"	"Man City"	37	5	"MID"	7.4	"Delph"
"260"	"Chamberlain"	"Arsenal"	44	6	"MID"	7.33333333333333	"Chamberlain"
"261"	"Fellaini"	"Man Utd"	44	6	"MID"	7.33333333333333	"Fellaini"
"262"	"Young"	"Man Utd"	40	5.5	"MID"	7.27272727272727	"Young"
"263"	"Khazri"	"Sunderland"	47	6.5	"MID"	7.23076923076923	"Khazri"
"264"	"Borthwick-Jackson"	"Man Utd"	32	4.5	"DEF"	7.11111111111111	"Borthwick-Jackson"
"265"	"Oviedo"	"Everton"	32	4.5	"MID"	7.11111111111111	"Oviedo"
"266"	"Wilson.1"	"Bournemouth"	46	6.5	"ATK"	7.07692307692308	"Wilson.1"
"267"	"Iwobi"	"Arsenal"	42	6	"MID"	7	"Iwobi"
"268"	"Mason"	"Spurs"	35	5	"MID"	7	"Mason"
"269"	"Sturridge"	"Liverpool"	70	10	"ATK"	7	"Sturridge"
